code,year,humanfactor,extinctionfactor
North America,21000,0.00000000,0.00000000
North America,20000,0.10000000,0.00000000
North America,19000,0.20000000,0.00000000
North America,18000,0.30000000,0.00000000
North America,17000,0.40000000,0.00000000
North America,16000,0.50000000,0.00000000
North America,15000,0.60000000,0.20000000
North America,14000,0.70000000,0.40000000
North America,13000,0.80000000,0.60000000
North America,12000,0.90000000,0.80000000
North America,11000,1.00000000,1.00000000
North America,10000,1.00000000,1.00000000
North America,9000,1.00000000,1.00000000
North America,8000,1.00000000,1.00000000
North America,7000,1.00000000,1.00000000
North America,6000,1.00000000,1.00000000
North America,5000,1.00000000,1.00000000
North America,4000,1.00000000,1.00000000
North America,3000,1.00000000,1.00000000
North America,2000,1.00000000,1.00000000
North America,1000,1.00000000,1.00000000
